Timestamp,current,js_201_out,speed
0,-93,0,0
1097,48,0,0
2100,-25,0,0
3098,-18,0,0
4101,-18,0,0
5127,-18,0,0
6100,-12,0,0
7095,41,0,0
8101,-18,0,0
9096,55,0,0
10102,-25,0,0
11098,48,0,0
12265,41,0,0
13100,-12,0,0
14097,48,0,0
15098,-18,0,0
16100,-12,0,0
17124,55,0,0
18101,-25,0,0
19097,-25,0,0
20095,55,0,0
21098,-18,0,0
22097,48,0,0
23100,48,0,0
24099,-86,0,0
25098,55,0,0
26096,55,0,0
27124,41,0,0
28102,41,0,0
29097,-18,0,0
30096,-18,0,0
31099,48,0,0
32098,48,0,0
33102,48,0,0
34101,48,0,0
35099,-18,0,0
36098,-18,0,0
37102,-25,0,0
38100,-25,0,0
39095,-18,0,0
40102,48,0,0
41084,-86,0,0
42097,-18,0,0
43097,48,0,0
44101,-72,0,0
45095,48,0,0
46098,48,0,0
47097,41,0,0
48102,48,0,0
49100,-86,0,0
50095,-79,0,0
51100,48,0,0
52125,-25,0,0
53101,-25,0,0
54096,109,0,0
55097,-12,0,0
56100,-79,0,0
57098,55,0,0
58101,-93,0,0
59099,-18,0,0
60102,48,0,0
61100,-12,0,0
62095,48,0,0
63126,-18,0,0
64095,-18,0,0
65100,48,0,0
66098,-12,0,0
67102,-18,0,0
68101,-18,0,0
69096,115,0,0
70102,-25,0,0
71097,-32,0,0
72097,-18,0,0
73100,-18,0,-3
74098,48,51.3,-3
75096,41,51.3,-3
76095,-25,34.5,-3
77098,-25,34.5,0
78096,-5,-16.8,0
79099,41,-16.8,0
80096,-25,0,0
81099,-18,0,0
82097,-25,0,0
83100,-18,0,0
84099,-25,0,0
85097,-18,0,0
86096,-18,0,0
87100,-18,0,0
88100,-18,0,0
89096,-12,0,0
90102,48,0,0
91098,48,0,0
92097,48,0,0
93101,48,0,0
94099,48,0,0
95098,-25,0,0
96097,-25,0,0
97100,109,0,0
98102,109,0,0
99098,-12,0,0
100097,-12,0,0
101102,-25,0,0
102101,-25,0,0
103096,-12,0,0
104095,-73,0,0
105101,-18,0,0
106100,-25,0,0
107096,48,0,0
108095,-25,0,0
109122,-18,0,0
110100,-18,0,0
111095,-86,0,0
112102,-79,0,0
113098,-25,0,0
114101,-18,0,0
115099,-12,0,0
116096,-18,0,0
117098,-25,0,0
118096,-86,0,0
119099,41,0,0
120097,48,0,0
121099,-93,0,0
122099,-18,0,0
123096,55,0,0
124277,-25,0,0
125103,41,0,0
126099,48,0,0
127120,34,0,0
128122,-32,0,0
129097,-18,0,0
130098,-12,0,0
131095,48,0,0
132122,-18,0,0
133135,48,0,0
134106,-18,0,0
135097,-25,0,0
136097,48,0,0
137100,-86,0,0
138098,-18,0,0
139247,-86,0,0
140123,48,0,0
141279,-12,0,0
142099,-18,0,0
143125,-93,0,0
144095,48,0,0
145100,-93,0,0
146101,41,0,0
147096,-18,0,0
148101,-18,0,0
149095,48,0,0
150122,48,0,0
151111,41,0,0
152226,-160,0,0
153120,-18,0,0
154105,41,0,0
155098,-18,0,0
156102,41,0,0
157100,-18,0,0
158125,-18,0,0
159265,48,0,0
160102,48,0,0
161119,-32,0,0
162096,-32,0,0
163100,-18,0,0
164098,-18,0,0
165118,-93,0,0
166124,-93,0,0
167102,109,0,0
168210,-18,0,0
169272,-18,0,0
170122,-18,0,0
171098,-12,0,0
172098,-12,0,0
173121,109,0,0
174251,48,0,0
175096,-18,0,0
176099,41,0,0
177119,-25,0,0
178099,-12,0,0
179097,-25,0,0
180100,48,0,0
181097,-18,0,0
182100,-18,0,0
183098,-25,0,0
184106,41,0,0
185101,41,0,0
186246,55,0,0
187097,-25,0,0
188097,48,0,0
189097,48,0,0
190101,-25,0,0
191100,-66,0,0
192097,41,0,0
193097,-86,0,0
194121,-86,0,0
195098,41,0,0
196101,48,0,0
197099,41,0,0
198096,55,0,0
199102,-25,0,0
200097,-12,0,0
201097,-18,0,0
202100,-25,0,0
203098,-18,0,0
204101,-18,0,0
205102,-18,0,0
206097,55,0,0
207095,-18,0,0
208098,-25,0,0
209102,-25,0,0
210097,-25,0,0
211095,48,0,0
212098,-18,0,0
213096,48,0,0
214099,48,0,0
215100,48,0,0
216095,48,0,0
217102,-12,0,0
218098,62,0,0
219136,-25,0,0
220096,-86,0,0
221099,-25,0,0
222098,-18,0,0
223101,-18,0,0
224100,-18,0,0
225099,-18,0,0
226097,-25,0,0
227101,-25,0,0
228100,-18,0,0
229096,115,0,0
230096,-12,0,0
231102,55,0,0
232098,55,0,0
233097,48,0,0
234100,48,0,0
235102,41,0,0
236098,41,0,0
237096,48,0,0
238100,48,0,0
239099,-208,0,0
240102,-208,0,0
241099,41,0,0
242098,41,0,0
243102,41,0,0
244101,-25,0,0
245086,-18,0,0
246096,48,0,0
247101,-18,0,0
248096,48,0,0
249102,-25,0,0
250097,-12,0,0
251095,48,0,0
252096,-18,0,0
253099,-18,0,0
254096,109,0,0
255102,-12,0,0
256100,55,0,0
257095,48,0,0
258101,-25,0,0
259096,48,0,0
260102,41,0,0
261097,-93,0,0
262097,-18,0,0
263095,-25,0,0
264098,-25,0,0
265099,48,0,0
266102,-25,0,0
267100,-25,0,0
268095,-12,0,0
269101,48,0,0
270096,48,0,0
271102,62,0,0
272097,-86,0,0
273099,-18,0,0
274097,48,0,0
275102,-18,0,0
276101,41,0,0
277096,-18,0,0
278102,-93,0,0
279097,48,0,0
280095,48,0,0
281098,48,0,0
282097,48,0,0
283102,-18,0,0
284096,-18,0,0
285102,41,0,0
286101,48,0,0
287097,41,0,0
288096,-12,0,0
289099,41,0,0
290098,-18,0,0
291102,48,0,0
292101,-18,0,0
293096,48,0,0
294095,-18,0,0
295101,-79,0,0
296102,-18,0,0
297098,-18,0,0
298096,-18,0,0
299100,41,0,0
300099,-18,0,0
301102,-79,0,0
302101,-79,0,0
303097,115,0,0
304097,115,0,0
305138,-25,0,0
306102,-25,0,0
307098,48,0,0
308097,48,0,0
309101,-86,0,0
310099,-86,0,0
311095,-25,0,0
312100,-25,0,0
313095,48,0,0
314101,41,0,0
315099,-25,0,0
316121,41,0,0
317099,-18,0,0
318102,-5,0,0
319100,-99,0,0
320095,48,0,0
321101,48,0,0
322096,-25,0,0
323095,-18,0,0
324098,-18,0,0
325098,-18,0,0
326101,-18,0,0
327112,-25,0,0
328096,-18,0,0
329099,48,0,0
330097,-86,0,0
331100,-25,0,0
332098,48,0,0
333101,-86,0,0
334099,-86,0,0
335097,-18,0,0
336095,55,0,0
337098,-25,0,0
338102,-18,0,0
339101,-25,0,0
340096,-25,0,0
341102,-25,0,0
342097,-18,0,0
343095,-86,0,0
344097,115,0,0
345098,-25,0,0
346101,41,0,0
347100,55,0,0
348096,48,0,0
349098,-18,0,0
350101,-25,0,0
351100,48,0,0
352096,48,0,0
353095,62,0,0
354098,-18,0,0
355101,-86,0,0
356096,48,0,0
357095,-18,0,0
358099,-5,0,0
359097,-146,0,0
360103,48,0,0
361102,-25,0,0
362098,-25,0,0
363097,-18,0,0
364102,-18,0,0
365096,115,0,0
366099,-18,0,0
367098,-18,0,0
368101,-18,0,0
369100,48,0,0
370096,48,0,0
371095,48,0,0
372105,48,0,0
373097,55,0,0
374100,55,0,0
375102,-93,0,0
376098,-93,0,0
377095,48,0,0
378097,48,0,0
379095,-25,0,0
380098,-25,0,0
381096,-18,0,0
382099,-18,0,0
383097,41,0,0
384099,-18,0,0
385097,-18,0,0
386095,-18,0,0
387098,48,0,0
388096,-18,0,0
389099,-12,0,0
390097,-25,0,0
391099,-12,0,0
392097,48,0,0
393102,-18,0,0
394100,48,0,0
395100,-18,0,0
396095,-18,0,0
397097,-25,0,0
398100,48,0,0
399098,-18,0,0
400101,-18,0,0
401099,-18,0,0
402102,-79,0,0
403100,48,0,0
404095,-86,0,0
405096,-18,0,0
406096,-18,0,0
407099,41,0,0
408097,-18,0,0
409099,41,0,0
410097,-18,0,0
411096,48,0,0
412099,109,0,0
413098,-18,0,0
414101,-18,0,0
415095,-25,0,0
416099,34,0,0
417102,55,0,0
418097,-12,0,0
419096,-25,0,0
420100,62,0,0
421099,48,0,0
422102,-18,0,0
423101,-18,0,0
424097,41,0,0
425098,55,0,0
426102,-32,0,0
427101,-25,0,0
428100,-79,0,0
429095,41,0,0
430102,-18,0,0
431098,-18,0,0
432097,-18,0,0
433100,-32,0,0
434099,48,0,0
435098,-12,0,0
436096,-18,0,0
437100,-18,0,0
438098,-12,0,0
439096,41,0,0
440099,48,0,0
441098,-25,0,0
442102,55,0,0
443099,41,0,0
444101,-25,0,0
445102,-18,0,0
446098,-18,0,0
447096,-18,0,0
448098,-18,0,0
449084,-18,0,0
450096,-18,0,0
451099,-12,0,0
452097,-12,0,0
453099,-18,0,0
454097,-18,0,0
455095,-18,0,0
456101,-18,0,0
457096,55,0,0
458102,48,0,0
459097,41,0,0
460097,-18,0,0
461095,55,0,0
462098,-18,0,0
463096,-18,0,0
464098,48,0,0
465099,48,0,0
466102,-86,0,0
467101,-18,0,0
468096,-18,0,0
469102,-25,0,0
470097,48,0,0
471102,41,0,0
472101,-18,0,0
473096,-99,0,0
474102,48,0,0
475100,48,0,0
476099,-12,0,0
477101,-18,0,0
478100,48,0,0
479096,41,0,0
480095,48,0,0
481098,-12,0,0
482099,-18,0,0
483098,-25,0,0
484102,41,0,0
485096,-18,0,0
486099,-25,0,0
487098,-86,0,0
488102,-18,0,0
489100,-25,0,0
490096,-18,0,0
491095,122,0,0
492099,-12,0,0
493128,-79,0,0
494097,55,0,0
495097,-25,0,0
496095,41,0,0
497098,-18,0,0
498097,55,0,0
499096,-12,0,0
500099,-25,0,0
501098,48,0,0
502102,-25,0,0
503117,-18,0,0
504102,-25,0,0
505101,55,0,0
506100,41,0,0
507096,-18,0,0
508102,-18,0,0
509096,48,0,0
510101,48,0,0
511096,-32,0,0
512102,-32,0,0
513097,-25,0,0
514095,-25,0,0
515102,-25,0,0
516098,-25,0,0
517096,41,0,0
518098,41,0,0
519096,-12,0,0
520099,-12,0,0
521097,-18,0,0
522100,-18,0,0
523098,-25,0,0
524101,41,0,0
525102,-25,0,0
526115,-12,0,0
527099,-25,0,0
528102,-86,0,0
529100,-12,0,0
530097,48,0,0
531095,55,0,0
532098,-18,0,0
533096,-18,0,0
534099,41,0,0
535100,-25,0,0
536095,-18,0,0
537109,-18,0,0
538100,-18,0,0
539095,-25,0,0
540101,48,0,0
541096,-18,0,0
542102,41,0,0
543098,-18,0,0
544096,-18,0,0
545102,48,0,0
546101,122,0,0
547097,115,0,0
548125,-93,0,0
549101,-25,0,0
550097,-25,0,0
551097,-25,0,0
552101,48,0,0
553100,48,0,0
554095,-86,0,0
555097,48,0,0
556101,-18,0,0
557100,-18,0,0
558097,-12,0,0
559117,-18,0,0
560102,-18,0,0
561098,-25,0,0
562096,-18,0,0
563100,-12,0,0
564099,48,0,0
565098,-18,0,0
566096,48,0,0
567100,41,0,0
568098,-12,0,0
569102,-18,0,0
570107,-18,0,0
571098,41,0,0
572102,48,0,0
573101,-93,0,0
574095,48,0,0
575095,-18,0,0
576098,-18,0,0
577096,-25,0,0
578098,41,0,0
579097,-86,0,0
580099,55,0,0
581097,41,0,0
582098,48,0,0
583100,-18,0,0
584098,-18,0,0
585096,-25,0,0
586102,-25,0,0
587098,41,0,0
588096,41,0,0
589099,48,0,0
590096,48,0,0
591099,-18,0,0
592097,-18,0,0
593102,-12,0,0
594097,-12,0,0
595098,-12,0,0
596101,-93,0,0
597099,-25,0,0
598102,-18,0,0
599100,-93,0,0
600098,-18,0,0
601101,-18,0,0
602099,-18,0,0
603102,-18,0,0
604117,-93,0,0
605096,-25,0,0
606099,-25,0,0
607097,-12,0,0
608100,-18,0,0
609098,-18,0,0
610102,41,0,0
611101,-86,0,0
612097,-12,0,0
613097,55,0,0
614101,48,0,0
615095,-25,0,0
616102,-18,0,0
617098,48,0,0
618096,-25,0,0
619100,41,0,0
620099,-25,0,0
621095,-18,0,0
622102,-18,0,0
623098,48,0,0
624096,-86,0,0
625102,-86,0,0
626133,41,0,0
627101,-18,0,0
628097,48,0,0
629096,-12,0,0
630099,41,0,0
631098,-25,0,0
632101,-93,0,0
633100,-5,0,0
634096,-18,0,0
635098,48,0,0
636102,41,0,0
637100,-25,0,0
638131,-25,0,0
639101,-93,0,0
640095,-12,0,0
641101,48,0,0
642096,41,0,0
643102,-18,0,0
644097,-12,0,0
645098,-18,0,0
646100,-18,0,0
647099,48,0,0
648101,-12,0,0
649097,-18,0,0
650100,-18,0,0
651098,-25,0,0
652101,-25,0,0
653099,48,0,0
654087,48,0,0
655100,48,0,0
656098,48,0,0
657101,-18,0,0
658099,-18,0,0
659107,-12,0,0
660099,-12,0,0
661102,-93,0,0
662100,-93,0,0
663095,-18,0,0
664101,-18,0,0
665099,-12,0,0
666097,-12,0,0
667100,41,0,0
668098,41,0,0
669101,-12,0,0
670098,-12,0,0
671096,-25,0,0
672099,55,0,0
673097,41,0,0
674100,41,0,0
675102,-25,0,0
676098,-12,0,0
677096,-12,0,0
678100,48,0,0
